Year,Conference,Place,School
2022,Mid-South Conference,7,Rio Grande (Ohio) - Mens
2022,Wolverine-Hoosier Athletic Conference,1,Indiana Tech - Mens
2022,Wolverine-Hoosier Athletic Conference,2,Marian (Ind.) - Mens
2022,Wolverine-Hoosier Athletic Conference,4,Cornerstone (Mich.) - Mens
2022,Wolverine-Hoosier Athletic Conference,5,Lourdes (Ohio) - Mens
2022,Wolverine-Hoosier Athletic Conference,6,Siena Heights (Mich.) - Mens
2022,Wolverine-Hoosier Athletic Conference,7,Cleary (Mich.) - Mens
2023,American Midwest Conference/Sooner Athletic Conference,1,Oklahoma City University - Mens
2023,American Midwest Conference/Sooner Athletic Conference,2,Texas Wesleyan University - Mens
2023,American Midwest Conference/Sooner Athletic Conference,4,Wayland Baptist (Texas) - Mens
2023,American Midwest Conference/Sooner Athletic Conference,5,Williams Baptist (Ark.) - Mens
2023,American Midwest Conference/Sooner Athletic Conference,6,Central Baptist (Ark.) - Mens
2023,American Midwest Conference/Sooner Athletic Conference,7,Jarvis Christian (Texas) - Mens
2023,American Midwest Conference/Sooner Athletic Conference,8,William Woods (Mo.) - Mens
2023,American Midwest Conference/Sooner Athletic Conference,9,Central Christian (Kan.) - Mens
2023,Appalachian Athletic Conference,1,Life (Ga.) - Mens
2023,Appalachian Athletic Conference,2,Southeastern (Fla.) - Mens
2023,Appalachian Athletic Conference,3,Reinhardt (Ga.) - Mens
2023,Appalachian Athletic Conference,4,Keiser (Fla.) - Mens
2023,Appalachian Athletic Conference,4,Brewton-Parker (Ga.) - Mens
2023,Appalachian Athletic Conference,5,Truett McConnell (Ga.) - Mens
2023,Appalachian Athletic Conference,6,St. Thomas (Fla.) - Mens
2023,Appalachian Athletic Conference,7,Montreat (N.C.) - Mens
2023,Appalachian Athletic Conference,8,Pikeville (Ky.) - Mens
2023,Appalachian Athletic Conference,10,WVU Tech (W.Va.) - Mens
2023,Cascade Collegiate Conference,2,Providence (Mont.) - Mens
2023,Cascade Collegiate Conference,3,Embry-Riddle (Ariz.) - Mens
2023,Cascade Collegiate Conference,4,Southern Oregon University - Mens
2023,Cascade Collegiate Conference,5,Eastern Oregon University - Mens
2023,Cascade Collegiate Conference,6,Montana State-Northern - Mens
